Years,CoD,Sex,0,1,2,3,4, 5-9, 10-14, 15-19, 20-24, 25-29, 30-34, 35-39, 40-44, 45-49, 50-54, 55-59, 60-64, 65-69, 70-74, 75-79, 80-84, 85+
1980,All causes,1,25804,1836,1208,978,739,2989,3571,15207,21696,19037,17003,16822,20790,31469,53003,80075,104187,132459,144912,138208,114557,128134
1980,CVD,1,595,109,48,43,22,95,139,408,695,976,1787,3498,6633,12289,23050,37124,50207,66142,76257,76741,67656,81537
1980,"Traches, bronchus, lung cancer",1,3,0,2,0,0,1,3,3,15,38,108,397,1099,2670,5696,9361,12323,14227,13062,9184,4829,2509
1980,Other MN,1,63,93,70,102,77,466,411,677,970,1060,1263,1614,2416,4234,8173,13378,17805,22753,23819,21417,15901,13640
1980,External causes of death,1,817,681,592,556,408,1680,2268,12795,18064,14436,10686,7612,6083,5619,5839,5651,4805,4526,3901,3520,2695,3000
1980,Other,1,24326,953,496,277,232,747,750,1324,1952,2527,3159,3701,4559,6657,10245,14561,19047,24811,27873,27346,23476,27448
1980,All causes,2,19722,1408,894,651,473,2086,2043,5526,6598,6695,7505,8834,11972,18318,30367,45941,61978,83818,105432,125403,139089,229836
1980,CVD,2,446,107,42,24,20,105,124,277,433,662,967,1516,2658,4762,8674,15398,24395,38657,55900,75629,91834,164491
1980,"Traches, bronchus, lung cancer",2,2,1,0,0,0,3,0,2,2,20,69,234,621,1349,2622,3762,4552,4924,4136,2908,1668,1433
1980,Other MN,2,45,54,62,58,54,307,306,463,551,923,1600,2439,3650,5977,10309,15099,18365,21565,22944,21264,18068,18138
1980,External causes of death,2,627,505,428,328,234,950,965,3764,4171,3373,2748,2211,1990,1900,2122,2116,2046,2061,2279,2562,2556,4160
1980,Other,2,18602,741,362,241,165,721,648,1020,1441,1717,2121,2434,3053,4330,6640,9566,12620,16611,20173,23040,24963,41614
2010,All causes,1,13704,928,664,508,366,1330,1739,7880,13951,14468,14795,17648,25849,45000,67126,86829,102581,109575,120221,143041,168863,275897
2010,CVD,1,286,53,31,17,19,63,95,317,581,985,1751,3119,6001,12019,19370,25874,31400,33192,36825,45797,58243,109705
2010,"Traches, bronchus, lung cancer",1,0,0,0,0,0,1,2,5,10,19,71,167,496,1929,4717,7558,10900,13666,14094,13598,11699,8811
2010,Other MN,1,31,38,51,61,50,238,241,355,627,749,950,1576,2909,6423,12136,18292,23959,25392,26548,28593,29047,35085
2010,External causes of death,1,895,372,358,256,175,578,893,6254,11132,10592,9142,8577,9267,11307,11008,9187,6777,4772,4264,4545,5071,8276
2010,Other,1,12492,465,224,174,122,450,508,949,1601,2123,2881,4209,7176,13322,19895,25918,29545,32553,38490,50508,64803,114020
2010,All causes,2,10886,808,446,339,268,1012,1227,3028,4746,5842,7239,10411,16209,28649,42592,53207,68347,80455,97014,130356,183487,489629
2010,CVD,2,221,45,21,21,10,55,72,153,285,496,925,1569,2956,5693,8744,11488,15863,19448,25671,39254,62753,203166
2010,"Traches, bronchus, lung cancer",2,0,0,0,0,0,2,2,7,9,18,54,155,533,1775,3675,5104,7587,10024,10823,11123,10242,9452
2010,Other MN,2,31,41,32,38,39,198,233,234,359,631,1134,2075,3903,7469,12117,15954,20172,21421,22694,24943,27796,41668
2010,External causes of death,2,656,272,214,139,100,352,470,1964,2888,2977,2894,3366,3855,4944,4865,3876,2872,2286,2224,2997,4316,11366
2010,Other,2,9978,450,179,141,119,405,450,670,1205,1720,2232,3246,4962,8768,13191,16785,21853,27276,35602,52039,78380,223977
